Report generated on: 12-29-2022 11:25:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
API,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,total energy production (quad Btu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTL.44-1-CHN-QBTU.A,        China,19.53949852,19.3586248,20.4365534,21.85772896,23.91805068,26.2841124,27.06847254,28.0441804,29.37804595,31.1969355,31.87634411,32.12976847,32.90884596,34.0498831,36.2147161,37.95612721,40.03110408,39.42453815,39.05946938,38.82117442,41.26159736,44.01149686,46.20261587,52.76438904,60.32713528,66.77994159,72.18679578,77.52232627,82.35228421,87.79799889,97.06171152,104.9843939,111.0358183,113.412023,114.9168071,114.4000157,108.148124,112.0666486,118.0477756,123.8392488,127.0019925,134.9641885
INTL.44-1-COL-QBTU.A,        Colombia,0.660191898,0.669737766,0.753739996,0.782483737,0.928810067,1.01431685,1.381908036,1.546926402,1.609075914,1.773630045,1.921809034,1.865392046,1.889490683,1.981613465,2.054446182,2.429558246,2.658744696,2.784986841,2.982240548,3.145851706,3.008760631,3.006361218,2.930498011,3.027700493,3.141524721,3.275575673,3.501874576,3.533489402,3.926310828,4.075570266,4.402725965,5.052000096,5.229224383,5.317327701,5.351504859,5.321291698,5.182001008,5.204436734,5.072464934,5.064343477,3.839166582,4.005550337
INTL.44-1-COM-QBTU.A,        Comoros,2.0776E-05,2.0906E-05,2.0908E-05,2.104E-05,0.00002088,0.000020894,0.000020892,0.000020838,0.000020648,0.000020864,0.000020804,0.000020872,0.000020684,0.000020618,0.000020632,0.000020624,0.00002068,0.000020426,0.000020394,0.000020452,0.000020402,0.000020666,0.000030519,0.0000405,0.00005008,0.000049995,0.000049595,0.00004942,0.00004927,0.0000488,0.00004878,0.00004858,0.000028548,0.000019082,0.00001902,0.000018638,0.000018464,3.6852E-06,3.6416E-06,0.000003562,0,0
INTL.44-1-COG-QBTU.A,        Congo-Brazzaville,0.139061912,0.176804406,0.190207197,0.186681984,0.25929202,0.258262736,0.25423699,0.264449225,0.307581997,0.350090818,0.353145714,0.334060094,0.37244776,0.385515662,0.38283477,0.399946574,0.429719058,0.557853772,0.581580675,0.592559999,0.614625854,0.55982093,0.547213732,0.538483142,0.513804333,0.50231338,0.529767263,0.462186847,0.521960617,0.599007632,0.765486227,0.670340951,0.619203886,0.589324725,0.569281884,0.579833762,0.492079162,0.572039151,0.771474198,0.734113564,0.631455762,0.592297321
INTL.44-1-COD-QBTU.A,        Congo-Kinshasa,0.090201469,0.089652706,0.095168347,0.103183394,0.120468875,0.125581812,0.126094245,0.125853674,0.121359608,0.124180796,0.123399911,0.114411874,0.117922939,0.110065852,0.110415131,0.127245898,0.1269002,0.111586985,0.105127831,0.100863154,0.116527072,0.112608269,0.110172374,0.108949582,0.115549357,0.115557581,0.116762711,0.124064355,0.115940643,0.122574052,0.12058274,0.118396437,0.114499445,0.120655824,0.125966586,0.125183888,0.126241349,0.127515296,0.148946767,0.15013953,0.15430483,0.144008614
INTL.44-1-COK-QBTU.A,        Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,1.0342E-06,1.0309E-06,1.0316E-06,1.0312E-06,0.000001034,1.0213E-06,1.0197E-06,1.0226E-06,1.0201E-06,1.0333E-06,1.0173E-06,1.0125E-06,1.0016E-06,1.00E-06,9.92E-07,9.88E-07,9.85E-07,9.76E-07,9.76E-07,9.72E-07,9.52E-07,7.6328E-06,1.3761E-05,3.23556E-05,4.31965E-05,0.000064491,0.000145664,0.000133575,0.000114049,0.00013914
INTL.44-1-CRI-QBTU.A,        Costa Rica,0.021794031,0.023634239,0.024692359,0.029508651,0.03110076,0.028718803,0.029938236,0.030986106,0.03117848,0.034289984,0.034825896,0.037872244,0.04157484,0.045235892,0.0451325,0.041278936,0.04457574,0.055109348,0.049995891,0.061284418,0.069295393,0.070099072,0.075343988,0.073572745,0.080831691,0.081743138,0.082916236,0.08532432,0.089096035,0.08577088,0.08653572,0.086452968,0.089900749,0.087417025,0.088497363,0.101158168,0.100440391,0.103498842,0.102734725,0.100926866,0.102804821,0.111519867
INTL.44-1-HRV-QBTU.A,        Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.201116205,0.211559621,0.213580071,0.209582526,0.215810875,0.187098829,0.191802321,0.188036591,0.181731773,0.189777203,0.165196754,0.170646118,0.179006128,0.165725803,0.159333744,0.154995304,0.161797265,0.178201021,0.197527803,0.151511781,0.143673685,0.174005015,0.175992191,0.148127947,0.150741971,0.13387929,0.163448951,0.141600113,0.132286644,0.146585788
INTL.44-1-CUB-QBTU.A,        Cuba,0.024268947,0.03059847,0.036147567,0.041086299,0.047954964,0.054049751,0.057485528,0.057936596,0.052144836,0.05269031,0.055519987,0.053564361,0.058638255,0.062691707,0.071774547,0.074116528,0.086909628,0.113653644,0.101188446,0.121559198,0.131687904,0.139458963,0.135243479,0.152306546,0.159323205,0.14269611,0.140922398,0.144768595,0.17017248,0.166688235,0.173499341,0.172011034,0.171444886,0.171988307,0.175583947,0.16941483,0.160113537,0.14707719,0.141542061,0.130304096,0.124853565,0.118965384
INTL.44-1-CYP-QBTU.A,        Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009999,0.000009919,0.000029652,0.000402791,0.000576321,0.000956596,0.001973816,0.002582866,0.003187639,0.00298614,0.00372308,0.003920267,0.004069609,0.004347461,0.004584577,0.00523762,0.006820446
